127.0.0.1, 2018-08-11 11:22:13, GET, /, HTTP/1.1, 303, 0.051000
127.0.0.1, 2018-08-11 11:22:14, GET, /welcome/default/index, HTTP/1.1, 200, 0.846000
127.0.0.1, 2018-08-11 11:22:14, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 11:22:14, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-11 11:22:14, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-11 11:22:14, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 11:22:14, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-11 11:22:14, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-08-11 11:22:14, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-08-11 11:22:14, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-08-11 11:22:16, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 11:25:49, GET, /welcome/default/index, HTTP/1.1, 200, 0.031000
127.0.0.1, 2018-08-11 11:25:51, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 12:55:33, GET, /, HTTP/1.1, 303, 0.161000
127.0.0.1, 2018-08-11 12:55:33, GET, /welcome/default/index, HTTP/1.1, 200, 0.144000
127.0.0.1, 2018-08-11 13:11:23, GET, /admin/default/index, HTTP/1.1, 200, 0.072000
127.0.0.1, 2018-08-11 13:11:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-08-11 13:11:29, GET, /example/default/index, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-08-11 13:11:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-08-11 13:11:34, GET, /examples/default/index, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-08-11 13:11:34, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 13:11:34, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-11 13:11:34, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 13:11:34, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 13:11:34, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 13:11:34, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-08-11 13:11:34, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-08-11 13:11:34, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-11 13:11:34, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-11 13:11:34, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 13:11:34, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 13:11:34, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-08-11 13:11:34, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
